"","score","text"
"14",0,"Lalu jail se bahar ha Jamanat par,
rahul gandhi b..sonia gandhi b...
or ab kejriwal bhi. #Kejriwal #ArvindShoeAttack"
"15",0,"@KiranKS There can not be a dirtiest politician than #Kejriwal"
"16",-1,"RT @BawaHS: Man who threw #shoe on #Kejriwal had called #BJP leader before attack: #AAP

https://t.co/uStG66ZqPQ https://t.co/MuKW5sM4wQ"
"17",-1,"Man who threw #shoe on #Kejriwal had called #BJP leader before attack: #AAP

https://t.co/QpiEIyY7cX https://t.co/xDAuYjbhBR"
"18",-1,"Man who threw #shoe on #Kejriwal had called #BJP leader before attack: #AAP

https://t.co/uStG66ZqPQ https://t.co/MuKW5sM4wQ"
"19",0,"RT @varunmiglani1: <U+092E><U+0948><U+0902> <U+0915><U+092D><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> security <U+0928><U+0939><U+0940> <U+0932><U+0942><U+0901><U+0917><U+093E>
<U+0928><U+093E> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> <U+0918><U+0930> <U+0932><U+0942><U+0901><U+0917><U+093E>
<U+0928><U+093E> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> <U+0917><U+093E><U+0921><U+0940> <U+0932><U+0942><U+0901><U+0917><U+093E>
#Kejriwal 
@ajaymaken @MaswoodZ https://t.co/q…"
"20",0,"RT @Mitalishah121: <U+092C><U+0948><U+0920><U+0947> <U+092C><U+0948><U+0920><U+0947> <U+0915><U+094D><U+092F><U+093E> <U+0915><U+0930><U+0947>, <U+0928><U+0939><U+0940> #<U+0915><U+0930><U+0928><U+093E> <U+0939><U+0948> <U+0915><U+0941><U+091B> <U+0915><U+093E><U+092E>, <U+0936><U+0941><U+0930><U+0942> <U+0915><U+0930><U+094B> <U+0905><U+0902><U+0924><U+093E><U+0915><U+094D><U+0937><U+0930><U+0940>, <U+0932><U+0947><U+0915><U+0947> #<U+0930><U+093E><U+092F><U+0924><U+093E> <U+0915><U+093E> <U+0928><U+093E><U+092E>.
<U+091A><U+0932><U+094B> <U+092E> <U+0938><U+0947> <U+0917><U+093E><U+0913>.
#Kejriwal- #<U+092E><U+094B><U+0926><U+0940>... http…"
"21",-2,"You don't know any language other than Odd n Even. 
So would u please keep quite #Corrupt #Kejriwal 
https://t.co/G2xoSpZXup"
"22",0,"#SYL <U+0915><U+0947> <U+092E><U+0941><U+0926><U+094D><U+0926><U+0947> <U+092A><U+0930> #Kejriwal <U+0928><U+0947> <U+092A><U+0902><U+091C><U+093E><U+092C><U+093F><U+092F><U+094B><U+0902> <U+0915><U+0940> <U+092A><U+0940><U+0920> <U+092E><U+0947><U+0902> <U+091B><U+0941><U+0930><U+093E> <U+0918><U+094B><U+0902><U+092A><U+093E>: <U+092E><U+091C><U+0940><U+0920><U+093F><U+092F><U+093E> https://t.co/eXaO67XUTe #BikramMajithia https://t.co/ot3QhbAEQr"
"23",-1,"Kiss or Slap, #Arvind #Kejriwal, visit https://t.co/j3umlVBIvM"
"24",-1,"AAP <U+0915><U+093E> <U+0935><U+093F><U+0930><U+094B><U+0927> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932><U+0947> <U+092A><U+094D><U+0930><U+093F><U+0902><U+0938><U+093F><U+092A><U+0932> <U+0915><U+094B> Corruption <U+0915><U+093E> <U+091A><U+093E><U+0930><U+094D><U+091C> <U+0932><U+0917><U+093E><U+0915><U+0930> <U+092C><U+0930><U+094D><U+0916><U+093E><U+0938><U+094D><U+0924> <U+0915><U+093F><U+092F><U+093E> <U+0917><U+092F><U+093E> 
<U+0905><U+0902><U+0927><U+0947><U+0930> <U+0928><U+0917><U+0930><U+0940> <U+091A><U+094C><U+092A><U+091F> #Kejriwal 
https://t.co/Zs6ByOgfBC"
"25",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"26",1,"RT @malviyamit: Why is it that #Kejriwal routinely gets slapped and inked by his own party workers? Well, here is a small sample.. https://…"
"27",0,"#AAPAgainstSikhs #Kejriwal #ArvindShoeAttack https://t.co/m4ho3Svo7v"
"28",0,"RT @DrGarekar: #NitishKumar wants to shadow #Kejriwal by one upsmanship  https://t.co/9IUiETORZo"
"29",0,"#NitishKumar wants to shadow #Kejriwal by one upsmanship  https://t.co/9IUiETORZo"
"30",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"31",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"32",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"33",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"34",-1,"#kejriwal .the odd even is still 4 days away and see the present condition of our public transport. https://t.co/H3drT4Cz0Y"
"35",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"36",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"37",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"38",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"39",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"40",0,"@DrGarekar Henceforth #kejriwal will be Rupert Mardok 
Media Moulder https://t.co/t5CmY7p0KU"
"41",0,"RT @DrGarekar: Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"42",0,"Except Zee all other TV Newschannels are in pay roll of #Kejriwal by cash or kind.(Ads) https://t.co/WdhLQHX1RP"
"43",0,"RT @RaghvendraLive: <U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932> <U+092A><U+0930> <U+091C><U+0942><U+0924><U+093E> <U+092B><U+0947><U+0902><U+0915><U+0928><U+0947> <U+0935><U+093E><U+0932><U+0947> <U+0936><U+0916><U+094D><U+0938> <U+0928><U+0947> <U+0938><U+0940><U+0921><U+0940> <U+092D><U+0940> <U+092B><U+0947><U+0902><U+0915><U+0940><U+0964> CNG <U+0938><U+094D><U+091F><U+093F><U+0915><U+0930> <U+0918><U+094B><U+091F><U+093E><U+0932><U+0947> <U+0915><U+0947> <U+092E><U+093E><U+092E><U+0932><U+0947> <U+092E><U+0947><U+0902> <U+0915><U+093E><U+0930><U+094D><U+0930><U+0935><U+093E><U+0908> <U+0928> <U+0915><U+0930><U+0928><U+0947> <U+0938><U+0947> <U+0925><U+093E> <U+0928><U+093E><U+0930><U+093E><U+091C><U+093C><U+0964> #OddEv…"
"44",0,"#Kejriwal and his PR team ensure to RT every tweet that praises him or #AAP. seriously #Delhi wala attitude."
"45",1,"Unlike other Chief Ministers At least #Kejriwal is accessible to throw slippers #kejri"
"46",0,"RT @varunmiglani1: <U+092E><U+0948><U+0902> <U+0915><U+092D><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> security <U+0928><U+0939><U+0940> <U+0932><U+0942><U+0901><U+0917><U+093E>
<U+0928><U+093E> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> <U+0918><U+0930> <U+0932><U+0942><U+0901><U+0917><U+093E>
<U+0928><U+093E> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> <U+0917><U+093E><U+0921><U+0940> <U+0932><U+0942><U+0901><U+0917><U+093E>
#Kejriwal 
@ajaymaken @MaswoodZ https://t.co/q…"
"47",1,"RT @malviyamit: Why is it that #Kejriwal routinely gets slapped and inked by his own party workers? Well, here is a small sample.. https://…"
"48",0,"#narendramodi #kejriwal resrvation  is like a cancer for india which is eating india continously n nw they want to unemply all genrl in pvt"
"49",0,"RT @nidhihparikh: <U+0915><U+0932> #Kejriwal <U+092A><U+0947> <U+091C><U+0942><U+0924><U+093E> <U+092B><U+0947><U+0902><U+0915><U+093E> <U+0925><U+093E> .... 
<U+0914><U+0930> <U+0906><U+091C> <U+0926><U+093F><U+0932><U+094D><U+0932><U+0940> <U+092E><U+0947><U+0902> <U+092D><U+0942><U+0915><U+0902><U+092A> <U+092D><U+0940> <U+0906> <U+0917><U+092F><U+093E> ...
<U+092F><U+0947> <U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932> <U+0915><U+093E> side effect <U+0939><U+0948> <U+092F><U+093E> <U+091C><U+0942><U+0924><U+0947> <U+0915><U+093E> ..!
#Ear…"
"50",-1,"What is more annoying to watch  #fantrailer or #Kejriwal ads"
"51",0,"RT @varunmiglani1: <U+092E><U+0948><U+0902> <U+0915><U+092D><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> security <U+0928><U+0939><U+0940> <U+0932><U+0942><U+0901><U+0917><U+093E>
<U+0928><U+093E> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> <U+0918><U+0930> <U+0932><U+0942><U+0901><U+0917><U+093E>
<U+0928><U+093E> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> <U+0917><U+093E><U+0921><U+0940> <U+0932><U+0942><U+0901><U+0917><U+093E>
#Kejriwal 
@ajaymaken @MaswoodZ https://t.co/q…"
"52",-1,"#Amarinder questions #Badals' dubious role on #SYL, compares it to that of #Kejriwal
https://t.co/t8SaXeAIJT https://t.co/4AuKHoztgi"
"53",-1,"#Amarinder questions #Badals' dubious role on #SYL, compares it to that of #Kejriwal
https://t.co/pqklaJD0W3 https://t.co/8RMvzD2U7M"
"54",0,"RT @ITNlive: #Kejriwal writes letter to #PMModi opposing the #IDBI privatisation - https://t.co/2yNfMplVdn https://t.co/vuHgUSd9rM"
"55",0,"RT @nidhihparikh: <U+0915><U+0932> #Kejriwal <U+092A><U+0947> <U+091C><U+0942><U+0924><U+093E> <U+092B><U+0947><U+0902><U+0915><U+093E> <U+0925><U+093E> .... 
<U+0914><U+0930> <U+0906><U+091C> <U+0926><U+093F><U+0932><U+094D><U+0932><U+0940> <U+092E><U+0947><U+0902> <U+092D><U+0942><U+0915><U+0902><U+092A> <U+092D><U+0940> <U+0906> <U+0917><U+092F><U+093E> ...
<U+092F><U+0947> <U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932> <U+0915><U+093E> side effect <U+0939><U+0948> <U+092F><U+093E> <U+091C><U+0942><U+0924><U+0947> <U+0915><U+093E> ..!
#Ear…"
"56",0,"@ArvindKejriwal <U+091C><U+093F><U+0932><U+094D><U+0932><U+0947> <U+0907><U+0932><U+093E><U+0939><U+0940> #Kejriwal <U+0915><U+0940> <U+0936><U+093E><U+0928> <U+092E><U+0947><U+0902> <U+092C><U+093E><U+0902><U+0926><U+0940> @DrKumarVishwas <U+092E><U+0941><U+091C><U+0930><U+093E> <U+0914><U+0930> <U+0906><U+0926><U+093E><U+092C> <U+0915><U+0947> <U+0938><U+093E><U+0925>, <U+0916><U+093F><U+0924><U+093E><U+092C>-<U+090F>-<U+091C><U+0942><U+0924><U+093E><U+0916><U+094B><U+0930> #<U+0926><U+092E><U+0926><U+093E><U+0930>_<U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932> <U+092D><U+0940> <U+092C><U+091C><U+093E> <U+0932><U+093E><U+0908> <U+0939><U+0948>"
"57",0,"RT @varunmiglani1: <U+092E><U+0948><U+0902> <U+0915><U+092D><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> security <U+0928><U+0939><U+0940> <U+0932><U+0942><U+0901><U+0917><U+093E>
<U+0928><U+093E> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> <U+0918><U+0930> <U+0932><U+0942><U+0901><U+0917><U+093E>
<U+0928><U+093E> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> <U+0917><U+093E><U+0921><U+0940> <U+0932><U+0942><U+0901><U+0917><U+093E>
#Kejriwal 
@ajaymaken @MaswoodZ https://t.co/q…"
"58",-1,"#Kejriwal  may not visit kerala as the mishap cannot be framed as anti -  #BJP ...or ant #modi"
"59",0,"RT @ajayuvaach: @bhartijainTOI @ExSecular Lets see how many fathers/mothers come in for adoption? #BDutt &amp; #Rajdeep #Kejriwal #RahulGandhi…"
"60",0,"@bhartijainTOI @ExSecular Lets see how many fathers/mothers come in for adoption? #BDutt &amp; #Rajdeep #Kejriwal #RahulGandhi are known."
"61",0,"@khushi2434
@poonamj08541683
I'm lifetime #BJP voter.
My suggestion is to fight #Kejriwal with facts &amp; figures rather than just lampoon him"
"62",0,"WATCH: Aam Aadmi Sena's Ved Prakash throws shoe at Delhi CM Arvind Kejriwal - FULL VIDEO: https://t.co/fu8Hjy23Ha #Kejriwal"
"63",-1,"#Kollam me Jo hua,Usk liye koi aur neta ya party na dikhi,sirf @BJP4India @narendramodi @SanghArmy hi dikhe ..shame on you #Pappu #Kejriwal"
"64",-1,"RT @juventino1978: The idea of odd-even every alternate fortnight is scary. But then Delhi voted for this man. #Kejriwal"
"65",-1,"RT @juventino1978: The idea of odd-even every alternate fortnight is scary. But then Delhi voted for this man. #Kejriwal"
"66",-1,"Waiting for #Kejriwal to blame Central for not helping Delhi Daredevils to make runs on the board :-D #IPL9 #KKRvDD #IPL2016"
"67",0,"#Kejri_Slap_himself #Kejriwal #kejriwaldivas #KejriShoeAttack <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/CQ0PphlpWm"
"68",-1,"RT @juventino1978: The idea of odd-even every alternate fortnight is scary. But then Delhi voted for this man. #Kejriwal"
"69",-1,"RT @juventino1978: The idea of odd-even every alternate fortnight is scary. But then Delhi voted for this man. #Kejriwal"
"70",0,"RT @varunmiglani1: <U+092E><U+0948><U+0902> <U+0915><U+092D><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> security <U+0928><U+0939><U+0940> <U+0932><U+0942><U+0901><U+0917><U+093E>
<U+0928><U+093E> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> <U+0918><U+0930> <U+0932><U+0942><U+0901><U+0917><U+093E>
<U+0928><U+093E> <U+0938><U+0930><U+0915><U+093E><U+0930><U+0940> <U+0917><U+093E><U+0921><U+0940> <U+0932><U+0942><U+0901><U+0917><U+093E>
#Kejriwal 
@ajaymaken @MaswoodZ https://t.co/q…"
"71",-1,"RT @htdelhi: Contractual teachers protest outside #Kejriwal home https://t.co/K4pKqTaocK @Shrads_chettri @ArvindKejriwal https://t.co/tkatS…"
"72",0,"RT @wh0mi_: <U+0905><U+092D><U+0940> #TaherShah <U+0915><U+0947> <U+0938><U+0926><U+092E><U+0947> <U+0938><U+0947> <U+0909><U+092C><U+0930><U+0947> <U+092D><U+0940> <U+0928><U+0939><U+0940> <U+0925><U+0947> <U+0914><U+0930> <U+0915><U+093F><U+0938><U+0940> <U+0928><U+0947> #Kejriwal <U+092A><U+0947> <U+091C><U+0942><U+0924><U+093E> <U+0926><U+0947> <U+092E><U+093E><U+0930><U+093E>! <U+0905><U+0917><U+0930> <U+0910><U+0938><U+093E> <U+0939><U+0940> <U+091A><U+0932><U+0924><U+093E> <U+0930><U+0939><U+093E> <U+0924><U+094B> #HappinessIndex <U+092E><U+0947><U+0902> <U+0926><U+0947><U+0936> <U+0905>…"
"73",0,"number of overs allotted:20
number of overs used:14.1
number of overs saved:5.5
kyuki yeh imaandar sarkar hain #DDvsKKR #tweetlike #Kejriwal"
"74",-2,"@JantaKaReporter I haven't seen such an idiotic and fact less article and irony is writer's name is pathak. #Kejriwal ka reporter."
"75",0,"#PoonamPandey is the #Kejriwal of #Bollywood she just want attention at any cost. She just want to get noticed.."
"76",-1,"Bcj it's temple so nothing to bother. No coments frm #Kejriwal, #yechuri, #mayawati, #NitishKumar, #lalu&amp;sharad, #diggiraja, #manishtewari,"
"77",-1,"RT @Kaju_kishmish: Tabhi joote aaye din milte rehte hain inhe, aise hi nai koi deta h!<ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #OddEven #Kejriwal https://t.co/7QoXrJipCs"
"78",0,"RT @HanzalaOfficial: <U+0915><U+0947><U+091C><U+0930><U+0935><U+093E><U+0932> <U+092D><U+0940> <U+092D><U+093E><U+0930><U+0924><U+0940><U+092F> <U+091A><U+0930><U+092E><U+092A><U+0902><U+0925><U+093F><U+092F><U+094B><U+0902> <U+0928><U+0947> <U+0928><U+0939><U+0940><U+0902> <U+091B><U+094B><U+0921><U+093C><U+093E> <U+0964> <U+0938><U+0930><U+0947><U+0906><U+092E> <U+091C><U+0942><U+0924><U+093E> <U+092E><U+093E><U+0930> <U+0926><U+093F><U+092F><U+093E>...<ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>
#India
#Kejriwal 
#RSS
#BJP https://t.co/iZ4Xp2Ku…"
"79",0,"RT @nidhihparikh: <U+0915><U+0932> #Kejriwal <U+092A><U+0947> <U+091C><U+0942><U+0924><U+093E> <U+092B><U+0947><U+0902><U+0915><U+093E> <U+0925><U+093E> .... 
<U+0914><U+0930> <U+0906><U+091C> <U+0926><U+093F><U+0932><U+094D><U+0932><U+0940> <U+092E><U+0947><U+0902> <U+092D><U+0942><U+0915><U+0902><U+092A> <U+092D><U+0940> <U+0906> <U+0917><U+092F><U+093E> ...
<U+092F><U+0947> <U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932> <U+0915><U+093E> side effect <U+0939><U+0948> <U+092F><U+093E> <U+091C><U+0942><U+0924><U+0947> <U+0915><U+093E> ..!
#Ear…"
"80",-1,"#Kejriwal has blamed  #Modi Govt. for Delhi Daredevils poor performance against #KKR ..... #KKRvDD #IPL2016"
"81",1,"RT @malviyamit: Why is it that #Kejriwal routinely gets slapped and inked by his own party workers? Well, here is a small sample.. https://…"
"82",0,"RT @SACHKAHOON: #BreakingNews  <U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932> <U+0915><U+0940> <U+092A><U+094D><U+0930><U+0947><U+0938> <U+0915><U+0949><U+0928><U+094D><U+092B><U+094D><U+0930><U+0947><U+0902><U+0938> <U+092E><U+0947><U+0902> <U+0939><U+0917><U+093E><U+092E><U+093E>- <U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932> <U+092A><U+0930> <U+091C><U+0942><U+0924><U+093E> <U+092B><U+0940><U+0915><U+093E> <U+0917><U+092F><U+093E> #kejriwal #Delhi #DelhiGovt"
"83",0,"RT @SACHKAHOON: #BreakingNews  <U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932> <U+0915><U+0940> <U+092A><U+094D><U+0930><U+0947><U+0938> <U+0915><U+0949><U+0928><U+094D><U+092B><U+094D><U+0930><U+0947><U+0902><U+0938> <U+092E><U+0947><U+0902> <U+0939><U+0917><U+093E><U+092E><U+093E>- <U+0915><U+0947><U+091C><U+0930><U+0940><U+0935><U+093E><U+0932> <U+092A><U+0930> <U+091C><U+0942><U+0924><U+093E> <U+092B><U+0940><U+0915><U+093E> <U+0917><U+092F><U+093E> #kejriwal #Delhi #DelhiGovt"
"84",0,"#kejriwal and Shoes..... https://t.co/won2uELexy"
"85",-1,"#Mahathugbandhan of #NitishKumar #Kejriwal #Lalu #RG trying to crush #AAMAADMIofIndia under #reservations &amp; derail the development of India."
"86",-1,"Kiss or Slap, #Arvind #Kejriwal, visit https://t.co/j3umlVBIvM"
"87",-1,"RT @VoiceOfPM: #Modi doesn't want another #Kejriwal from a poor middle-class family comes out from #IIT 
#IITFeeHike by #BJP https://t.co/o…"
"88",-1,"RT @DrGarekar: #NitishKumar is more dangerous than #Kejriwal who is playing ReservationFactor to his advantage,more ReservationQuota in Gov…"
"89",0,"RT @DrGarekar: Fight is on between #Kejriwal &amp; #NitishKumar to become next PM material,they have started appeasement policy for Minorities…"
"90",0,"RT @DrGarekar: Fight is on between #Kejriwal &amp; #NitishKumar to become next PM material,they have started appeasement policy for Minorities…"
"91",-1,"RT @DrGarekar: #NitishKumar is more dangerous than #Kejriwal who is playing ReservationFactor to his advantage,more ReservationQuota in Gov…"
"92",0,"RT @DrGarekar: Fight is on between #Kejriwal &amp; #NitishKumar to become next PM material,they have started appeasement policy for Minorities…"
"93",-1,"RT @DrGarekar: #NitishKumar is more dangerous than #Kejriwal who is playing ReservationFactor to his advantage,more ReservationQuota in Gov…"
"94",0,"RT @HanzalaOfficial: <U+0915><U+0947><U+091C><U+0930><U+0935><U+093E><U+0932> <U+092D><U+0940> <U+092D><U+093E><U+0930><U+0924><U+0940><U+092F> <U+091A><U+0930><U+092E><U+092A><U+0902><U+0925><U+093F><U+092F><U+094B><U+0902> <U+0928><U+0947> <U+0928><U+0939><U+0940><U+0902> <U+091B><U+094B><U+0921><U+093C><U+093E> <U+0964> <U+0938><U+0930><U+0947><U+0906><U+092E> <U+091C><U+0942><U+0924><U+093E> <U+092E><U+093E><U+0930> <U+0926><U+093F><U+092F><U+093E>...<ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>
#India
#Kejriwal 
#RSS
#BJP https://t.co/iZ4Xp2Ku…"
"95",-1,"RT @DrGarekar: #NitishKumar is more dangerous than #Kejriwal who is playing ReservationFactor to his advantage,more ReservationQuota in Gov…"
"96",0,"#Akhlak #UP #Kejriwal #BJP
<U+092D><U+093E><U+0908><U+092F><U+094B> <U+092E><U+0948> <U+0930><U+093F><U+0924><U+0940><U+0915> <U+0930><U+093E><U+091C> <U+0938><U+0948><U+0928><U+0940> <U+0906><U+092A> <U+0938><U+092D><U+0940> <U+0938><U+0947> <U+0928><U+093F><U+0935><U+0947><U+0926><U+0928> <U+0915><U+0930><U+0924><U+093E> <U+0939><U+0942> <U+0939><U+092E><U+093E><U+0930><U+0947> <U+0921><U+0949><U+0966><U+090F><U+0966><U+0915><U+0947><U+0966><U+0936><U+0941><U+0915><U+094D><U+0932><U+093E> <U+091C><U+0940> <U+0915><U+0947> <U+092C><U+093E><U+0924><U+094B> <U+0915><U+094B>... https://t.co/9oBwU5PJIH"
"97",-1,"RT @DrGarekar: #NitishKumar is more dangerous than #Kejriwal who is playing ReservationFactor to his advantage,more ReservationQuota in Gov…"
"98",3,"While every1 is busy making jokes on them. @AamAadmiParty is continuing its good work. Kudos. #Kejriwal https://t.co/jU3DPlesLP"
"99",0,"#Kejriwal Acrobat and those who are dearest to clap their hands for acrobatics ."
"100",-1,"RT @Likepushpa: @ArvindKejriwal sab golmal hai ji sab golmal hai yeh tho #kejriwal publiecity stunt hai"
"101",-1,"RT @DrGarekar: #NitishKumar is more dangerous than #Kejriwal who is playing ReservationFactor to his advantage,more ReservationQuota in Gov…"
